Symbol
HDFCBANK
ICICIBANK
RELIANCE
INFY
BSE
BHARTIARTL
SBIN
ETERNAL
TCS
M&M
AXISBANK
LT
BAJFINANCE
KOTAKBANK
MCX
VEDL
IDEA
BEL
DIXON
MARUTI
INDIGO
ITC
HAL
SHRIRAMFIN
TMPV
TATASTEEL
WAAREEENER
KAYNES
HINDALCO
HCLTECH
SUNPHARMA
TRENT
SWIGGY
JIOFIN
HINDCOPPER
HINDUNILVR
MAZDOCK
PAYTM
NTPC
SUZLON
NETWEB
CANBK
POWERGRID
GRSE
EICHERMOT
BAJAJ-AUTO
TITAN
COFORGE
HINDZINC
ADANIPORTS
HEROMOTOCO
ULTRACEMCO
APOLLOHOSP
POWERINDIA
ADANIPOWER
CDSL
INDUSINDBK
TECHM
MAXHEALTH
PERSISTENT
VBL
BPCL
NATIONALUM
TVSMOTOR
ASIANPAINT
ADANIENT
COALINDIA
CHOLAFIN
INDUSTOWER
WIPRO
BANKBARODA
SAIL
RECLTD
POLICYBZR
PFC
HDFCAMC
ASHOKLEY
ADANIGREEN
AMBER
BDL
CUMMINSIND
BHEL
POLYCAB
DIVISLAB
BAJAJFINSV
DLF
HINDPETRO
ANGELONE
PNB
DRREDDY
HDFCLIFE
CIPLA
LUPIN
TATAPOWER
GMDCLTD
SOLARINDS
AUBANK
INDHOTEL
FEDERALBNK
RVNL
RBLBANK
FORCEMOT
MOTHERSON
UNIONBANK
YESBANK
JSWSTEEL
COCHINSHIP
IOC
CGPOWER
OLAELEC
GRASIM
MUTHOOTFIN
BRITANNIA
SBILIFE
GAIL
IDFCFIRSTB
GVT&D
SAMMAANCAP
NMDC
LAURUSLABS
HYUNDAI
DMART
FORTIS
KALYANKJIL
NAUKRI
ABB
ADANIENSOL
GODREJPROP
INDIANB
ENRIN
JINDALSTEL
BHARATFORG
UPL
GODREJCP
ABCAPITAL
LTF
NESTLEIND
VMM
LODHA
VOLTAS
GLENMARK
DATAPATTNS
ATHERENERG
PGEL
MARICO
LTM
AUROPHARMA
TATACONSUM
JSWENERGY
IRFC
SRF
GODFRYPHLP
UNITDSPR
BANDHANBNK
MPHASIS
SIEMENS
BANKINDIA
KEI
RPOWER
CUPID
NYKAA
APOLLO
PREMIERENE
BIOCON
TORNTPHARM
HAVELLS
ANANTRAJ
MFSL
GMRAIRPORT
AMBUJACEM
CHENNPETRO
CAMS
PRESTIGE
OFSS
SAGILITY
ICICIGI
OIL
HBLENGINE
BELRISE
MANAPPURAM
NBCC
HFCL
APLAPOLLO
KPITTECH
IREDA
MANKIND
INOXWIND
DELHIVERY
KFINTECH
PNBHOUSING
SONACOMS
NHPC
MAHABANK
DABUR
TATAELXSI
MRF
LICI
BOSCHLTD
SYRMA
JUBLFOOD
UNOMINDA
IEX
IDBI
COLPAL
PATANJALI
HDFCSILVER
ASTRAL
TATSILV
PIDILITIND
RADICO
SBICARD
PAGEIND
MOTILALOFS
ZEEL
BLUESTARCO
TIINDIA
PHOENIXLTD
SUPREMEIND
OBEROIRLTY
MTARTECH
SHREECEM
HUDCO
JPPOWER
COROMANDEL
PARADEEP
MRPL
CARTRADE
SCI
LICHSGFIN
ZYDUSLIFE
TITAGARH
WOCKPHARMA
NAVINFLUOR
TARIL
CROMPTON
IIFL
NUVAMA
NAM-INDIA
CONCOR
PIIND
EXIDEIND
BEML
IRCTC
APARINDS
NEULANDLAB
ALKEM
KARURVYSYA
REDINGTON
PETRONET
ICICIPRULI
NAZARA
BAJAJHLDNG
ZENTEC
HDBFS
NATCOPHARM
HSCL
TDPOWERSYS
TORNTPOWER
ITCHOTELS
HEG
POONAWALLA
SOUTHBANK
DALBHARAT
PPLPHARMA
ENGINERSIN
IFCI
NH
OLECTRA
JKCEMENT
UJJIVANSFB
EDELWEISS
TATATECH
PCJEWELLER
GRAPHITE
JMFINANCIL
ACUTAAS
GPIL
TEJASNET
JAYNECOIND
JSL
ANANDRATHI
NTPCGREEN
TATACOMM
FIVESTAR
CUB
NCC
GRANULES
IRCON
TRANSRAILL
WELCORP
CHAMBLFERT
BAJAJHFL
IGL
SWANCORP
AVANTIFEED
TIMETECHNO
SYNGENE
PARAS
BLACKBUCK
GESHIP
TFCILTD
SHAKTIPUMP
IXIGO
BLS
BSOFT
RAILTEL
ASTERDM
KPIGREEN
ATGL
CEATLTD
APOLLOTYRE
KEC
LEMONTREE
LALPATHLAB
SAILIFE
HEXT
TATACHEM
AWL
AFFLE
BALKRISIND
ASHAPURMIN
JWL
JINDALSAW
NLCINDIA
SWSOLAR
SBISILVER
ARE&M
SHAILY
JSWINFRA
DEEPAKFERT
ESCORTS
KTKBANK
APTUS
CHOICEIN
GRAVITA
SILVER
ACC
JBCHEPHARM
SJVN
ABFRL
CYIENT
JKTYRE
FIRSTCRY
CESC
PVRINOX
HCC
NEWGEN
WABAG
ASTRAMICRO
MGL
THERMAX
IRB
SIGNATURE
ECLERX
CREDITACC
INTELLECT
KIRLOSENG
CHOLAHLDNG
TI
TATAINVEST
GABRIEL
WEBELSOLAR
CGCL
EMBDL
FSL
LTTS
SANDUMA
J&KBANK
PRAJIND
WHIRLPOOL
ANURAS
CPPLUS
POCL
AARTIIND
SBC
HOMEFIRST
DEVYANI
JYOTICNC
SUNDARMFIN
GRMOVER
TRITURBINE
SMLMAH
AIIL
ZENSARTECH
BHARTIHEXA
YATHARTH
VOLTAMP
PCBL
IKS
OSWALPUMPS
MOSCHIP
GOKEX
KPRMILL
COHANCE
AZAD
RELIGARE
BRIGADE
STAR
LUMAXTECH
RAMCOCEM
MSUMI
WAAREERTL
MOBIKWIK
CASTROLIND
BALUFORGE
KAJARIACER
AVANTEL
ANTHEM
CEMPRO
EMBASSY-RR
AEGISLOG
ZAGGLE
WELSPUNLIV
AJANTPHARM
FLUOROCHEM
LTFOODS
MODEFENCE
MOIL
VINCOFE
KIMS
PRIVISCL
ABSLAMC
ACMESOLAR
DCBBANK
SHARDACROP
TANLA
AFCONS
SONATSOFTW
SARDAEN
DIACABS
ABREL
ENDURANCE
EIEL
CENTRALBK
PTCIL
BORORENEW
TECHNOE
SCHAEFFLER
AGIIL
IPCALAB
RAIN
STARHEALTH
BLUEJET
PAISALO
IOB
NAVA
MEDANTA
DEEPAKNTR
LLOYDSENGG
UCOBANK
JBMA
ABBOTINDIA
CRAFTSMAN
RRKABEL
EMAMILTD
INDIAMART
POLYMED
RKFORGE
GLAND
SANSERA
BAJAJCON
GPPL
GREAVESCOT
AAVAS
INOXGREEN
HDFCSML250
UBL
YATRA
PROTEAN
CRISIL
GILLETTE
SOBHA
SILVERCASE
EMCURE
KRBL
AEROFLEX
FINCABLES
ABDL
PARAGMILK
MIDHANI
JAMNAAUTO
CCL
ELECON
GICRE
MON100
RCF
GLAXO
ACE
USHAMART
EQUITASBNK
E2E
CLEAN
TEXRAIL
GENUSPOWER
ELGIEQUIP
SILVERBETA
TEGA
V2RETAIL
FACT
IMFA
